City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Jumla,29.28,82.18,3.13,75,0,2.37
Sao Paulo de Olivenca,-3.38,-68.87,82.51,70,24,4.61
Cantapoy,9.49,125.44,78.91,96,80,9.08
Mar del Plata,-46.43,-67.52,69.41,42,88,23.51
Kendari,-3.99,122.52,78.5,95,8,3.49
Tura,25.52,90.21,48.53,82,0,3.94
Okhotsk,59.36,143.24,-8.22,100,0,11.32
San Francisco,37.78,-122.42,55.26,69,90,11.41
Honningsvag,70.98,25.97,33.5,100,92,3.94
Amarante do Maranhao,-5.57,-46.74,72.38,91,68,4.72
Zlobin,45.29,14.65,33.8,55,0,3.36
Vanavara,60.35,102.28,-9.93,68,48,6.29
Montepuez,-13.13,39.0,72.47,98,92,5.5
Coaraci,-14.64,-39.55,73.37,92,76,3.94
Santo Antonio do Sudoeste,-26.07,-53.73,76.3,86,76,2.15
Pisco,-13.71,-76.2,71.6,88,75,19.46
Zhuanghe,39.7,122.97,27.16,100,8,5.17
Dutse,11.76,9.34,63.61,37,0,9.31
Kalianget,-7.74,113.68,77.11,100,20,4.05
Tromso,69.65,18.96,28.4,92,90,20.8
Ballinasloe,53.33,-8.22,49.25,96,92,17.25
College,64.86,-147.8,-35.74,69,1,3.49
Arraial do Cabo,-22.97,-42.02,78.5,84,36,19.48
Rio Pardo,-29.98,-52.37,73.33,85,88,11.77
Scarborough,54.28,-0.41,46.94,81,20,9.17
Meybod,32.25,54.02,28.4,28,0,2.24
Asosa,10.07,34.53,55.01,57,0,2.37
Riachao,-7.36,-46.62,75.76,82,68,2.15
Kiama,-34.67,150.86,87.8,48,0,5.82
Wuda,39.5,106.72,6.28,70,0,5.84
Gigmoto,13.78,124.39,77.42,100,92,14.56
Tateyama,36.66,137.31,39.2,60,75,4.7
Iquique,-20.22,-70.14,73.4,60,20,11.41
Sao Felix do Xingu,-6.64,-51.99,73.6,97,20,2.37
Pasighat,28.06,95.33,49.7,55,0,2.59
Port-Gentil,-0.72,8.78,77.78,100,12,3.49
Itai,-23.42,-49.09,72.38,89,12,3.15
Kurilsk,45.23,147.88,25.36,100,48,20.94
Kabalo,-6.05,26.92,72.92,92,56,2.37
Touros,-5.2,-35.46,80.6,74,0,5.82
Riberalta,-11.0,-66.08,80.12,76,32,3.15
Knysna,-34.04,23.05,59.0,77,80,11.41
Marsa Matruh,31.35,27.25,46.4,61,0,10.29
Santa Maria del Oro,25.95,-105.37,55.46,39,0,8.41
Magadan,59.56,150.8,19.46,100,64,18.81
Jalu,29.03,21.55,49.07,36,0,11.21
Khandagayty,50.73,92.07,-11.64,63,68,2.37
Doka,13.52,35.76,68.42,39,0,9.42
Matagami,9.67,8.4,61.22,40,0,7.4
Te Anau,-45.41,167.72,71.21,31,0,2.59
Severo-Yeniseyskiy,60.37,93.04,-13.3,60,24,2.59
Deming,32.27,-107.76,44.96,49,1,6.93
Atar,20.52,-13.05,47.63,36,0,6.85
Sokoni,-12.89,28.78,65.5,96,64,4.38
Ostrovnoy,68.05,39.51,21.53,89,88,10.65
Svetlyy Yar,48.48,44.79,33.8,95,90,22.37
Tacarigua,10.64,-61.36,77.0,83,20,5.82
Tineo,43.34,-6.41,42.8,81,90,2.24
Mattru,7.62,-11.83,77.02,80,8,4.05
Parabel,58.71,81.5,-18.52,54,12,4.94
Springfield,37.22,-93.29,32.88,88,90,14.99
Praia,-20.25,-43.81,73.4,64,0,4.7
Margate,-43.03,147.26,71.6,21,0,23.04
Maryville,40.35,-94.87,32.79,100,90,6.93
Forbes,-33.38,148.01,89.62,67,0,4.83
Novokizhinginsk,51.61,109.59,4.43,56,0,7.07
Colon,41.3,-96.61,34.93,81,40,5.82
Novopokrovka,45.85,134.51,16.9,55,0,3.38
Nakonde,-9.33,32.75,60.59,95,68,2.71
Zhigansk,66.77,123.37,-22.17,66,48,9.19
Umm Lajj,25.02,37.27,59.78,100,36,4.61
Veraval,49.65,0.71,44.6,93,75,5.82
Batemans Bay,-35.71,150.18,87.23,51,0,3.15
Perelyub,51.87,50.37,20.77,88,92,17.02
Beipiao,41.8,120.76,34.13,28,0,4.16
Orlovskiy,46.87,42.05,39.04,92,92,15.68
Yarkovo,54.81,82.6,1.4,77,90,11.18
Saskylakh,71.97,114.09,-43.18,0,36,3.6
Den Helder,52.96,4.76,46.4,81,90,11.41
Fortuna,38.18,-1.13,38.3,41,0,4.7
Nova Odesa,47.3,31.79,12.26,86,8,8.63
Taltal,-25.41,-70.49,53.03,100,20,1.7
Madingou,-4.17,13.56,69.01,99,92,2.37
Sechura,-5.56,-80.82,75.4,75,12,11.43
Chaihe,44.77,129.68,19.6,69,0,3.27
Madimba,4.42,9.93,78.8,94,75,1.12
Hede,60.45,15.49,30.2,68,20,13.87
Joshimath,30.57,79.57,-2.77,94,12,0.92
Voi,-3.4,38.57,66.76,94,80,2.93
Kahului,20.89,-156.47,78.04,52,40,5.82
Frankfort,38.2,-84.87,33.57,58,75,4.7
East London,-33.02,27.91,70.13,100,0,30.33
Rome,41.89,12.48,35.01,64,0,8.05
Liverpool,53.41,-2.98,47.23,87,75,18.34
Mandalgovi,45.76,106.27,7.09,67,0,13.56
Santiago del Estero,-27.8,-64.26,72.02,75,8,6.06
Saint George,39.45,22.34,36.45,93,90,6.93
Picton,-41.29,174.01,69.8,64,0,8.05
Orsha,54.51,30.43,13.43,85,68,10.87
Comodoro Rivadavia,-45.87,-67.48,68.0,40,0,19.46
Vostok,46.45,135.83,13.61,55,0,1.14
Gornopravdinsk,60.06,69.92,-13.84,64,44,6.73
Tiznit,29.7,-9.73,47.05,93,0,6.17
Falun,60.61,15.63,30.2,68,20,13.87
Ozinki,51.2,49.73,25.09,91,92,15.79
Greenwood,32.03,-101.9,49.33,74,0,3.36
Zambezi,-13.55,23.12,69.32,86,44,8.08
Namibe,-15.19,12.15,73.19,100,8,3.15
Waipawa,-39.94,176.59,63.83,77,92,10.65
Isangel,-19.55,169.27,79.9,100,0,4.61
Leh,34.16,77.58,-7.77,74,64,1.36
Rawson,-43.3,-65.11,72.25,32,44,19.04
Gat,14.69,-16.54,70.27,60,0,13.87
Dunedin,-45.87,170.5,60.46,76,0,7.63
Luderitz,-26.65,15.16,57.67,91,24,4.5
La Ronge,55.1,-105.3,3.2,77,40,9.17
Vardo,39.62,-77.74,27.48,52,1,3.36
Angoram,-4.06,144.07,90.47,62,48,2.71
Sao Joao da Barra,-21.64,-41.05,79.49,96,0,16.46
Caribou,46.86,-68.01,1.81,67,40,9.17
Peddapalli,18.61,79.38,64.64,83,0,10.76
Hondo,29.35,-99.14,58.68,92,90,3.36
Roald,62.58,6.12,36.36,100,88,10.29
Lalmohan,22.34,90.74,67.3,79,0,8.97
Tazovskiy,67.47,78.7,-23.97,36,48,11.99
Porto Novo,-23.68,-45.44,69.8,94,40,3.36
Villa de Reyes,21.8,-100.93,51.82,76,8,4.16
Narsaq,60.91,-46.05,37.4,59,92,31.09
Hatsukaichi,34.36,132.28,41.0,79,90,11.41
Aswan,24.09,32.9,43.22,91,0,3.49
Raymondville,37.34,-91.83,31.17,100,90,11.41
Hampton,42.74,-93.2,31.15,73,90,5.95
Aitape,-3.15,142.36,84.4,86,12,9.98
Gobabis,-22.45,18.97,59.92,36,0,13.0
Derzhavinsk,51.1,66.31,-7.72,77,76,8.97
Inhambane,-23.87,35.38,79.67,99,48,11.54
Sukhobezvodnoye,57.05,44.89,15.46,89,80,5.84
Gurgentepe,40.79,37.6,42.8,62,75,4.05
Reforma,24.02,-104.65,51.64,53,0,7.18
Coron,47.13,-0.65,41.0,100,68,5.61
Miyako,33.63,130.94,47.01,75,75,8.05
La Orilla,18.0,-102.23,75.98,96,0,3.71
Mahajanga,-15.72,46.32,78.8,88,75,2.24
Matam,15.66,-13.26,69.8,32,0,2.24
Acapulco,16.86,-99.88,75.98,86,0,6.4
Oga,8.18,5.65,65.36,63,0,3.15
Terrace,54.52,-128.61,32.0,98,90,2.24
Koungheul,13.98,-14.8,69.14,47,80,7.29
Salalah,17.01,54.1,73.4,28,0,14.99
Dwarka,28.58,77.04,50.0,100,40,3.27
Paraiso,24.01,-104.61,51.64,53,0,7.18
Svetlaya,46.54,138.33,24.55,100,0,6.4
Nyimba,-14.56,30.81,70.36,98,92,3.15
Thabazimbi,-24.59,27.41,63.61,94,24,1.14
Kamaishi,39.28,141.86,35.6,59,40,4.7
Yuci,37.68,112.73,14.0,85,0,2.24
Praia da Vitoria,38.73,-27.07,59.0,77,40,22.84
Buala,-8.15,159.59,83.95,90,92,4.94
Frontera,18.53,-92.64,70.58,81,0,9.42
Kudahuvadhoo,2.67,72.89,79.99,100,20,9.42
Beaverlodge,55.21,-119.43,19.4,73,75,2.24
Faya,18.39,42.45,53.6,87,0,2.71
Caohe,32.93,105.08,30.17,64,24,1.59
Mosquera,4.71,-74.23,53.6,87,20,5.82
Virginia Beach,36.85,-75.98,30.38,68,40,6.62
Beroroha,-21.68,45.17,71.48,97,44,4.27
Dossor,47.52,52.98,27.83,96,92,13.78
Kununurra,-15.77,128.74,95.0,56,0,5.82
Bethanien,-26.5,17.16,50.33,53,0,4.27
Porto de Moz,-1.75,-52.24,74.27,98,80,2.59
Bambanglipuro,-7.95,110.28,84.49,83,0,4.38
Ouallam,14.32,2.08,62.39,35,0,10.76
Sangar,63.92,127.47,-26.89,41,20,3.71
Muana,-1.53,-49.22,75.31,100,92,7.18
Minggang,32.45,114.03,39.26,92,56,4.16
Bogorodskoye,52.37,140.44,5.47,50,0,3.83
Tilichiki,60.47,166.1,4.79,77,0,6.29
Orangeburg,33.49,-80.86,33.98,72,1,6.96
Westport,53.8,-9.52,47.36,99,92,18.25
Ilulissat,69.22,-51.1,-7.61,43,0,2.24
Kurchum,48.57,83.65,11.09,82,92,2.71
Yuli,10.52,9.86,57.62,45,0,6.4
Kichera,55.93,110.1,-11.55,69,8,1.92
Lang Son,21.83,106.73,63.79,94,88,4.05
Bilma,18.69,12.92,47.14,52,0,3.49
Canutama,-6.53,-64.38,74.14,96,64,2.37
Seminole,32.72,-102.64,46.09,83,40,10.29
Norrtalje,59.76,18.7,32.61,71,0,13.87
Logansport,40.75,-86.36,28.09,72,90,4.7
Nelson Bay,-32.72,152.14,86.0,55,0,6.93
Srivardhan,18.03,73.02,64.19,90,0,2.59
Souillac,45.6,-0.6,41.0,93,90,3.36
Ryotsu,38.08,138.43,41.0,65,40,5.82
Yatou,3.63,9.81,78.8,94,75,1.12
Narsipatnam,17.67,82.61,62.6,100,0,2.24
Pangnirtung,66.15,-65.72,-18.43,53,64,3.15
Karaton,-6.34,106.1,80.6,83,20,4.7
Vermilion,53.35,-110.85,6.8,84,75,16.11
Bartica,6.41,-58.62,75.2,88,20,4.7
Lillooet,50.69,-121.94,35.56,93,1,4.7
Mezen,65.85,44.24,20.36,76,76,10.65
Gaspe,48.83,-64.48,19.4,85,90,6.93
Tiruchchendur,8.48,78.12,73.4,88,20,16.58
Wundanyi,-3.4,38.37,66.76,94,80,2.93
Saint-Pierre,48.95,4.24,40.32,93,0,9.17
Rocha,-34.48,-54.34,60.19,77,80,5.73
Kenai,60.55,-151.26,0.07,74,1,9.17
Montemor-o-Novo,38.65,-8.21,41.0,65,0,6.93
Kungalv,57.87,11.98,29.12,95,0,3.36
Grafton,-29.69,152.93,84.2,48,0,6.93
Abu Kamal,34.45,40.92,29.18,76,24,3.71
Ulaangom,49.98,92.07,-18.84,22,8,1.14
Buraydah,26.33,43.97,48.2,70,0,4.7
Ambilobe,-13.19,49.05,71.39,92,92,3.27
Belgrade,44.82,20.46,18.41,92,32,5.82
Ciudad Bolivar,8.12,-63.55,82.42,54,0,15.35
Ngatea,-37.27,175.5,75.2,57,0,10.29
Alexandria,31.31,-92.44,45.36,56,1,3.36
Adrar,27.87,-0.29,46.4,42,0,13.87
Phan Thiet,10.93,108.1,82.73,81,36,18.59
Cherskiy,68.75,161.3,-15.46,46,24,2.71
Naze,5.43,7.07,73.6,91,8,7.4
Adeje,5.68,5.76,74.81,95,0,6.29
Karpogory,64.0,44.44,19.46,74,80,11.21
Itarema,-2.92,-39.92,74.81,96,80,3.83
Port Lincoln,-34.72,135.86,70.45,77,0,17.47
Wajima,37.4,136.9,39.2,55,40,5.82
Presidencia Roque Saenz Pena,-26.79,-60.44,70.94,98,92,9.08
Dingle,11.0,122.67,82.64,70,20,10.65
Berlevag,70.86,29.09,19.6,100,68,4.38
Zhangye,38.94,100.46,14.06,51,0,3.15
Haimen,31.87,121.18,45.79,96,12,8.19
Coihaique,-45.58,-72.07,53.42,71,90,4.7
Santa Rosa,-36.62,-64.29,67.97,62,0,14.9
Salisbury,51.07,-1.8,44.78,77,90,8.05
Mount Isa,-20.73,139.49,93.2,44,40,10.29
Potanino,55.18,61.62,-2.21,84,40,2.24
Ordu,40.98,37.88,42.8,62,75,4.05
Alekseyevka,53.25,50.49,14.0,85,75,13.42
Mecca,21.43,39.83,56.27,83,0,2.59
Russkaya Polyana,53.78,73.88,0.92,83,88,3.94
Yamada,36.58,137.08,38.19,60,75,4.7
Cao Bang,22.67,106.25,57.08,100,76,3.49
Przasnysz,53.02,20.88,32.94,89,75,4.7
Waddan,29.16,16.14,39.04,60,0,11.43
High Level,58.52,-117.13,12.2,92,75,2.24
Nuuk,64.17,-51.74,17.6,78,12,20.8
Matara,-13.74,-72.9,44.71,97,92,1.7
Skibbereen,51.55,-9.27,46.4,93,75,6.93
Moron,10.49,-68.2,64.06,94,12,2.37
Beloha,-25.17,45.06,73.87,96,100,11.65
Dublin,53.35,-6.26,46.4,93,75,16.11
Ovalle,-30.6,-71.2,57.49,90,0,2.71
Krasnoarmeysk,56.12,38.15,13.06,85,88,11.18
Camocim,-2.9,-40.84,75.71,99,92,3.6
Japura,-0.42,102.29,79.76,85,24,2.82
Khorixas,-20.37,14.96,46.28,83,0,1.81
Manzil Salim,35.86,8.48,32.0,85,75,11.41
Bilibino,68.06,166.44,-20.95,59,12,2.71
Cristesti,46.5,24.48,24.8,85,92,5.82
Baykit,61.68,96.39,-17.49,73,32,2.93
Mareeba,-16.99,145.42,78.8,88,90,16.11
Maniitsoq,65.42,-52.9,5.83,100,0,8.75
Icod de los Vinos,28.37,-16.71,58.46,76,0,10.29
Arandis,-22.42,14.98,53.44,91,20,2.15
Luwuk,-0.95,122.79,82.96,100,8,2.15
Yangambi,0.77,24.47,71.93,91,56,1.25
Mayo,63.59,-135.9,-22.01,74,90,2.48
Bonthe,7.53,-12.5,79.27,85,0,4.94
Raudeberg,61.99,5.14,37.4,86,76,12.75
Esil,51.96,66.41,-6.19,72,48,8.86
Doctor Juan Leon Mallorquin,-25.4,-55.27,73.4,88,75,12.75
